LET THE FIGHT BEGIN!

--------------------------------------------------

--------------------------------------------------
Tournament Careful vs. Random finished. 
Player tournament scores: 
| Careful | Random |
| 1925.21 | 901.22 |

Tournament summary:
| Careful    | Random     | A | B | C |
| C/0.00 pts | C/0.00 pts | 1 | 1 | 1 |
| C/2.31 pts | A/2.31 pts | 0 | 2 | 0 |
| B/0.00 pts | B/0.00 pts | 1 | 1 | 1 |
| B/2.31 pts | C/2.31 pts | 2 | 0 | 0 |
| A/0.00 pts | A/0.00 pts | 1 | 1 | 1 |
| A/2.31 pts | B/2.31 pts | 0 | 0 | 2 |
| C/0.00 pts | C/0.00 pts | 1 | 1 | 1 |
| C/2.31 pts | A/2.31 pts | 0 | 2 | 0 |
| B/0.00 pts | B/0.00 pts | 1 | 1 | 1 |
| B/2.31 pts | C/2.31 pts | 2 | 0 | 0 |
| A/0.00 pts | A/0.00 pts | 1 | 1 | 1 |
| A/2.31 pts | B/2.31 pts | 0 | 0 | 2 |
| C/0.00 pts | C/0.00 pts | 1 | 1 | 1 |
| C/2.31 pts | A/2.31 pts | 0 | 2 | 0 |
| B/0.00 pts | B/0.00 pts | 1 | 1 | 1 |
| B/2.31 pts | C/2.31 pts | 2 | 0 | 0 |
| A/0.00 pts | A/0.00 pts | 1 | 1 | 1 |
| A/2.31 pts | B/2.31 pts | 0 | 0 | 2 |
| C/0.00 pts | C/0.00 pts | 1 | 1 | 1 |
| C/2.31 pts | A/2.31 pts | 0 | 2 | 0 |
| B/0.00 pts | B/0.00 pts | 1 | 1 | 1 |
| B/2.31 pts | C/2.31 pts | 2 | 0 | 0 |
| A/0.00 pts | A/0.00 pts | 1 | 1 | 1 |
| A/2.31 pts | B/2.31 pts | 0 | 0 | 2 |
| C/0.00 pts | C/0.00 pts | 1 | 1 | 1 |
| C/2.31 pts | A/2.31 pts | 0 | 2 | 0 |
| B/0.00 pts | B/0.00 pts | 1 | 1 | 1 |
| B/2.31 pts | C/2.31 pts | 2 | 0 | 0 |
| A/0.00 pts | A/0.00 pts | 1 | 1 | 1 |
| A/2.31 pts | B/2.31 pts | 0 | 0 | 2 |
| C/0.00 pts | C/0.00 pts | 1 | 1 | 1 |
| C/2.31 pts | A/2.31 pts | 0 | 2 | 0 |
| B/0.00 pts | B/0.00 pts | 1 | 1 | 1 |
| B/2.31 pts | C/2.31 pts | 2 | 0 | 0 |
| A/0.00 pts | A/0.00 pts | 1 | 1 | 1 |
| A/2.31 pts | B/2.31 pts | 0 | 0 | 2 |
| C/0.00 pts | C/0.00 pts | 1 | 1 | 1 |
| C/2.31 pts | A/2.31 pts | 0 | 2 | 0 |
| B/0.00 pts | B/0.00 pts | 1 | 1 | 1 |
| B/2.31 pts | C/2.31 pts | 2 | 0 | 0 |
| A/0.00 pts | A/0.00 pts | 1 | 1 | 1 |
| A/2.31 pts | B/2.31 pts | 0 | 0 | 2 |
| C/0.00 pts | C/0.00 pts | 1 | 1 | 1 |
| C/2.31 pts | A/2.31 pts | 0 | 2 | 0 |
| B/0.00 pts | B/0.00 pts | 1 | 1 | 1 |
| B/2.31 pts | C/2.31 pts | 2 | 0 | 0 |
| A/0.00 pts | A/0.00 pts | 1 | 1 | 1 |
| A/2.31 pts | B/2.31 pts | 0 | 0 | 2 |
| C/0.00 pts | C/0.00 pts | 1 | 1 | 1 |
| C/2.31 pts | A/2.31 pts | 0 | 2 | 0 |
| B/0.00 pts | B/0.00 pts | 1 | 1 | 1 |
| B/2.31 pts | C/2.31 pts | 2 | 0 | 0 |
| A/0.00 pts | A/0.00 pts | 1 | 1 | 1 |
| A/2.31 pts | B/2.31 pts | 0 | 0 | 2 |
| C/0.00 pts | C/0.00 pts | 1 | 1 | 1 |
| C/2.31 pts | A/2.31 pts | 0 | 2 | 0 |
| B/0.00 pts | B/0.00 pts | 1 | 1 | 1 |
| B/2.31 pts | C/2.31 pts | 2 | 0 | 0 |
| A/0.00 pts | A/0.00 pts | 1 | 1 | 1 |
| A/2.31 pts | B/2.31 pts | 0 | 0 | 2 |
| C/0.00 pts | C/0.00 pts | 1 | 1 | 1 |
| C/2.31 pts | A/2.31 pts | 0 | 2 | 0 |
| B/0.00 pts | B/0.00 pts | 1 | 1 | 1 |
| B/2.31 pts | C/2.31 pts | 2 | 0 | 0 |
| A/0.00 pts | A/0.00 pts | 1 | 1 | 1 |
| A/2.31 pts | B/2.31 pts | 0 | 0 | 2 |
| C/0.00 pts | C/0.00 pts | 1 | 1 | 1 |
| C/2.31 pts | A/2.31 pts | 0 | 2 | 0 |
| B/0.00 pts | B/0.00 pts | 1 | 1 | 1 |
| B/2.31 pts | C/2.31 pts | 2 | 0 | 0 |
| A/0.00 pts | A/0.00 pts | 1 | 1 | 1 |
| A/2.31 pts | B/2.31 pts | 0 | 0 | 2 |
| C/0.00 pts | C/0.00 pts | 1 | 1 | 1 |
| C/2.31 pts | A/2.31 pts | 0 | 2 | 0 |
| B/0.00 pts | B/0.00 pts | 1 | 1 | 1 |
| B/2.31 pts | C/2.31 pts | 2 | 0 | 0 |
| A/0.00 pts | A/0.00 pts | 1 | 1 | 1 |
| A/2.31 pts | B/2.31 pts | 0 | 0 | 2 |
| C/0.00 pts | C/0.00 pts | 1 | 1 | 1 |
| C/2.31 pts | A/2.31 pts | 0 | 2 | 0 |
| B/0.00 pts | B/0.00 pts | 1 | 1 | 1 |
| B/2.31 pts | C/2.31 pts | 2 | 0 | 0 |
| A/0.00 pts | A/0.00 pts | 1 | 1 | 1 |
| A/2.31 pts | B/2.31 pts | 0 | 0 | 2 |
| C/0.00 pts | C/0.00 pts | 1 | 1 | 1 |
| C/2.31 pts | A/2.31 pts | 0 | 2 | 0 |
| B/0.00 pts | B/0.00 pts | 1 | 1 | 1 |
| B/2.31 pts | C/2.31 pts | 2 | 0 | 0 |
| A/0.00 pts | A/0.00 pts | 1 | 1 | 1 |
| A/2.31 pts | B/2.31 pts | 0 | 0 | 2 |
| C/0.00 pts | C/0.00 pts | 1 | 1 | 1 |
| C/2.31 pts | A/2.31 pts | 0 | 2 | 0 |
| B/0.00 pts | B/0.00 pts | 1 | 1 | 1 |
| B/2.31 pts | C/2.31 pts | 2 | 0 | 0 |
| A/0.00 pts | A/0.00 pts | 1 | 1 | 1 |
| A/2.31 pts | B/2.31 pts | 0 | 0 | 2 |
| C/0.00 pts | C/0.00 pts | 1 | 1 | 1 |
| C/2.31 pts | A/2.31 pts | 0 | 2 | 0 |
| B/0.00 pts | B/0.00 pts | 1 | 1 | 1 |
| B/2.31 pts | C/2.31 pts | 2 | 0 | 0 |
| A/0.00 pts | A/0.00 pts | 1 | 1 | 1 |
| A/2.31 pts | B/2.31 pts | 0 | 0 | 2 |
| C/0.00 pts | C/0.00 pts | 1 | 1 | 1 |
| C/2.31 pts | A/2.31 pts | 0 | 2 | 0 |
| B/0.00 pts | B/0.00 pts | 1 | 1 | 1 |
| B/2.31 pts | C/2.31 pts | 2 | 0 | 0 |
| A/0.00 pts | A/0.00 pts | 1 | 1 | 1 |
| A/2.31 pts | B/2.31 pts | 0 | 0 | 2 |
| C/0.00 pts | C/0.00 pts | 1 | 1 | 1 |
| C/2.31 pts | A/2.31 pts | 0 | 2 | 0 |
| B/0.00 pts | B/0.00 pts | 1 | 1 | 1 |
| B/2.31 pts | C/2.31 pts | 2 | 0 | 0 |
| A/0.00 pts | A/0.00 pts | 1 | 1 | 1 |
| A/2.31 pts | B/2.31 pts | 0 | 0 | 2 |
| C/0.00 pts | C/0.00 pts | 1 | 1 | 1 |
| C/2.31 pts | A/2.31 pts | 0 | 2 | 0 |
| B/0.00 pts | B/0.00 pts | 1 | 1 | 1 |
| B/2.31 pts | C/2.31 pts | 2 | 0 | 0 |
| A/0.00 pts | A/0.00 pts | 1 | 1 | 1 |
| A/2.31 pts | B/2.31 pts | 0 | 0 | 2 |
| C/0.00 pts | C/0.00 pts | 1 | 1 | 1 |
| C/2.31 pts | A/2.31 pts | 0 | 2 | 0 |
| B/0.00 pts | B/0.00 pts | 1 | 1 | 1 |
| B/2.31 pts | C/2.31 pts | 2 | 0 | 0 |
| A/0.00 pts | A/0.00 pts | 1 | 1 | 1 |
| A/2.31 pts | B/2.31 pts | 0 | 0 | 2 |
| C/0.00 pts | C/0.00 pts | 1 | 1 | 1 |
| C/2.31 pts | A/2.31 pts | 0 | 2 | 0 |
| B/0.00 pts | B/0.00 pts | 1 | 1 | 1 |
| B/2.31 pts | C/2.31 pts | 2 | 0 | 0 |
| A/0.00 pts | A/0.00 pts | 1 | 1 | 1 |
| A/2.31 pts | B/2.31 pts | 0 | 0 | 2 |
| C/0.00 pts | C/0.00 pts | 1 | 1 | 1 |
| C/2.31 pts | A/2.31 pts | 0 | 2 | 0 |
| B/0.00 pts | B/0.00 pts | 1 | 1 | 1 |
| B/2.31 pts | C/2.31 pts | 2 | 0 | 0 |
| A/0.00 pts | A/0.00 pts | 1 | 1 | 1 |
| A/2.31 pts | B/2.31 pts | 0 | 0 | 2 |
| C/0.00 pts | C/0.00 pts | 1 | 1 | 1 |
| C/2.31 pts | A/2.31 pts | 0 | 2 | 0 |
| B/0.00 pts | B/0.00 pts | 1 | 1 | 1 |
| B/2.31 pts | C/2.31 pts | 2 | 0 | 0 |
| A/0.00 pts | A/0.00 pts | 1 | 1 | 1 |
| A/2.31 pts | B/2.31 pts | 0 | 0 | 2 |
| C/0.00 pts | C/0.00 pts | 1 | 1 | 1 |
| C/2.31 pts | A/2.31 pts | 0 | 2 | 0 |
| B/0.00 pts | B/0.00 pts | 1 | 1 | 1 |
| B/2.31 pts | C/2.31 pts | 2 | 0 | 0 |
| A/0.00 pts | A/0.00 pts | 1 | 1 | 1 |
| A/2.31 pts | B/2.31 pts | 0 | 0 | 2 |
| C/0.00 pts | C/0.00 pts | 1 | 1 | 1 |
| C/2.31 pts | A/2.31 pts | 0 | 2 | 0 |
| B/0.00 pts | B/0.00 pts | 1 | 1 | 1 |
| B/2.31 pts | C/2.31 pts | 2 | 0 | 0 |
| A/0.00 pts | A/0.00 pts | 1 | 1 | 1 |
| A/2.31 pts | B/2.31 pts | 0 | 0 | 2 |
| C/0.00 pts | C/0.00 pts | 1 | 1 | 1 |
| C/2.31 pts | A/2.31 pts | 0 | 2 | 0 |
| B/0.00 pts | B/0.00 pts | 1 | 1 | 1 |
| B/2.31 pts | C/2.31 pts | 2 | 0 | 0 |
| A/0.00 pts | A/0.00 pts | 1 | 1 | 1 |
| A/2.31 pts | B/2.31 pts | 0 | 0 | 2 |
| C/0.00 pts | C/0.00 pts | 1 | 1 | 1 |
| C/2.31 pts | A/2.31 pts | 0 | 2 | 0 |
| B/0.00 pts | B/0.00 pts | 1 | 1 | 1 |
| B/2.31 pts | C/2.31 pts | 2 | 0 | 0 |
| A/0.00 pts | A/0.00 pts | 1 | 1 | 1 |
| A/2.31 pts | B/2.31 pts | 0 | 0 | 2 |
| C/0.00 pts | C/0.00 pts | 1 | 1 | 1 |
| C/2.31 pts | A/2.31 pts | 0 | 2 | 0 |
| B/0.00 pts | B/0.00 pts | 1 | 1 | 1 |
| B/2.31 pts | C/2.31 pts | 2 | 0 | 0 |
| A/0.00 pts | A/0.00 pts | 1 | 1 | 1 |
| A/2.31 pts | B/2.31 pts | 0 | 0 | 2 |
| C/0.00 pts | C/0.00 pts | 1 | 1 | 1 |
| C/2.31 pts | A/2.31 pts | 0 | 2 | 0 |
| B/0.00 pts | B/0.00 pts | 1 | 1 | 1 |
| B/2.31 pts | C/2.31 pts | 2 | 0 | 0 |
| A/0.00 pts | A/0.00 pts | 1 | 1 | 1 |
| A/2.31 pts | B/2.31 pts | 0 | 0 | 2 |
| C/0.00 pts | C/0.00 pts | 1 | 1 | 1 |
| C/2.31 pts | A/2.31 pts | 0 | 2 | 0 |
| B/0.00 pts | B/0.00 pts | 1 | 1 | 1 |
| B/2.31 pts | C/2.31 pts | 2 | 0 | 0 |
| A/0.00 pts | A/0.00 pts | 1 | 1 | 1 |
| A/2.31 pts | B/2.31 pts | 0 | 0 | 2 |
| C/0.00 pts | C/0.00 pts | 1 | 1 | 1 |
| C/2.31 pts | A/2.31 pts | 0 | 2 | 0 |
| B/0.00 pts | B/0.00 pts | 1 | 1 | 1 |
| B/2.31 pts | C/2.31 pts | 2 | 0 | 0 |
| A/0.00 pts | A/0.00 pts | 1 | 1 | 1 |
| A/2.31 pts | B/2.31 pts | 0 | 0 | 2 |
| C/0.00 pts | C/0.00 pts | 1 | 1 | 1 |
| C/2.31 pts | A/2.31 pts | 0 | 2 | 0 |
| B/0.00 pts | B/0.00 pts | 1 | 1 | 1 |
| B/2.31 pts | C/2.31 pts | 2 | 0 | 0 |
| A/0.00 pts | A/0.00 pts | 1 | 1 | 1 |
| A/2.31 pts | B/2.31 pts | 0 | 0 | 2 |
| C/0.00 pts | C/0.00 pts | 1 | 1 | 1 |
| C/2.31 pts | A/2.31 pts | 0 | 2 | 0 |
| B/0.00 pts | B/0.00 pts | 1 | 1 | 1 |
| B/2.31 pts | C/2.31 pts | 2 | 0 | 0 |
| A/0.00 pts | A/0.00 pts | 1 | 1 | 1 |
| A/2.31 pts | B/2.31 pts | 0 | 0 | 2 |
| C/0.00 pts | C/0.00 pts | 1 | 1 | 1 |
| C/2.31 pts | A/2.31 pts | 0 | 2 | 0 |
| B/0.00 pts | B/0.00 pts | 1 | 1 | 1 |
| B/2.31 pts | C/2.31 pts | 2 | 0 | 0 |
| A/0.00 pts | A/0.00 pts | 1 | 1 | 1 |
| A/2.31 pts | B/2.31 pts | 0 | 0 | 2 |
| C/0.00 pts | C/0.00 pts | 1 | 1 | 1 |
| C/2.31 pts | A/2.31 pts | 0 | 2 | 0 |
| B/0.00 pts | B/0.00 pts | 1 | 1 | 1 |
| B/2.31 pts | C/2.31 pts | 2 | 0 | 0 |
| A/0.00 pts | A/0.00 pts | 1 | 1 | 1 |
| A/2.31 pts | B/2.31 pts | 0 | 0 | 2 |
| C/0.00 pts | C/0.00 pts | 1 | 1 | 1 |
| C/2.31 pts | A/2.31 pts | 0 | 2 | 0 |
| B/0.00 pts | B/0.00 pts | 1 | 1 | 1 |
| B/2.31 pts | C/2.31 pts | 2 | 0 | 0 |
| A/0.00 pts | A/0.00 pts | 1 | 1 | 1 |
| A/2.31 pts | B/2.31 pts | 0 | 0 | 2 |
| C/0.00 pts | C/0.00 pts | 1 | 1 | 1 |
| C/2.31 pts | A/2.31 pts | 0 | 2 | 0 |
| B/0.00 pts | B/0.00 pts | 1 | 1 | 1 |
| B/2.31 pts | C/2.31 pts | 2 | 0 | 0 |
| A/0.00 pts | A/0.00 pts | 1 | 1 | 1 |
| A/2.31 pts | B/2.31 pts | 0 | 0 | 2 |
| C/0.00 pts | C/0.00 pts | 1 | 1 | 1 |
| C/2.31 pts | A/2.31 pts | 0 | 2 | 0 |
| B/0.00 pts | B/0.00 pts | 1 | 1 | 1 |
| B/2.31 pts | C/2.31 pts | 2 | 0 | 0 |
| A/0.00 pts | A/0.00 pts | 1 | 1 | 1 |
| A/2.31 pts | B/2.31 pts | 0 | 0 | 2 |
| C/0.00 pts | C/0.00 pts | 1 | 1 | 1 |
| C/2.31 pts | A/2.31 pts | 0 | 2 | 0 |
| B/0.00 pts | B/0.00 pts | 1 | 1 | 1 |
| B/2.31 pts | C/2.31 pts | 2 | 0 | 0 |
| A/0.00 pts | A/0.00 pts | 1 | 1 | 1 |
| A/2.31 pts | B/2.31 pts | 0 | 0 | 2 |
| C/0.00 pts | C/0.00 pts | 1 | 1 | 1 |
| C/2.31 pts | A/2.31 pts | 0 | 2 | 0 |
| B/0.00 pts | B/0.00 pts | 1 | 1 | 1 |
| B/2.31 pts | C/2.31 pts | 2 | 0 | 0 |
| A/0.00 pts | A/0.00 pts | 1 | 1 | 1 |
| A/2.31 pts | B/2.31 pts | 0 | 0 | 2 |
| C/0.00 pts | C/0.00 pts | 1 | 1 | 1 |
| C/2.31 pts | A/2.31 pts | 0 | 2 | 0 |
| B/0.00 pts | B/0.00 pts | 1 | 1 | 1 |
| B/2.31 pts | C/2.31 pts | 2 | 0 | 0 |
| A/0.00 pts | A/0.00 pts | 1 | 1 | 1 |
| A/2.31 pts | B/2.31 pts | 0 | 0 | 2 |
| C/0.00 pts | C/0.00 pts | 1 | 1 | 1 |
| C/2.31 pts | A/2.31 pts | 0 | 2 | 0 |
| B/0.00 pts | B/0.00 pts | 1 | 1 | 1 |
| B/2.31 pts | C/2.31 pts | 2 | 0 | 0 |
| A/0.00 pts | A/0.00 pts | 1 | 1 | 1 |
| A/2.31 pts | B/2.31 pts | 0 | 0 | 2 |
| C/0.00 pts | C/0.00 pts | 1 | 1 | 1 |
| C/2.31 pts | A/2.31 pts | 0 | 2 | 0 |
| B/0.00 pts | B/0.00 pts | 1 | 1 | 1 |
| B/2.31 pts | C/2.31 pts | 2 | 0 | 0 |
| A/0.00 pts | A/0.00 pts | 1 | 1 | 1 |
| A/2.31 pts | B/2.31 pts | 0 | 0 | 2 |
| C/0.00 pts | C/0.00 pts | 1 | 1 | 1 |
| C/2.31 pts | A/2.31 pts | 0 | 2 | 0 |
| B/0.00 pts | B/0.00 pts | 1 | 1 | 1 |
| B/2.31 pts | C/2.31 pts | 2 | 0 | 0 |
| A/0.00 pts | A/0.00 pts | 1 | 1 | 1 |
| A/2.31 pts | B/2.31 pts | 0 | 0 | 2 |
| C/0.00 pts | C/0.00 pts | 1 | 1 | 1 |
| C/2.31 pts | A/2.31 pts | 0 | 2 | 0 |
| B/0.00 pts | B/0.00 pts | 1 | 1 | 1 |
| B/2.31 pts | C/2.31 pts | 2 | 0 | 0 |
| A/0.00 pts | A/0.00 pts | 1 | 1 | 1 |
| A/2.31 pts | B/2.31 pts | 0 | 0 | 2 |
| C/0.00 pts | C/0.00 pts | 1 | 1 | 1 |
| C/2.31 pts | A/2.31 pts | 0 | 2 | 0 |
| B/0.00 pts | B/0.00 pts | 1 | 1 | 1 |
| B/2.31 pts | C/2.31 pts | 2 | 0 | 0 |
| A/0.00 pts | A/0.00 pts | 1 | 1 | 1 |
| A/2.31 pts | B/2.31 pts | 0 | 0 | 2 |
| C/0.00 pts | C/0.00 pts | 1 | 1 | 1 |
| C/2.31 pts | A/2.31 pts | 0 | 2 | 0 |
| B/0.00 pts | B/0.00 pts | 1 | 1 | 1 |
| B/2.31 pts | C/2.31 pts | 2 | 0 | 0 |
| A/0.00 pts | A/0.00 pts | 1 | 1 | 1 |
| A/2.31 pts | B/2.31 pts | 0 | 0 | 2 |
| C/0.00 pts | C/0.00 pts | 1 | 1 | 1 |
| C/2.31 pts | A/2.31 pts | 0 | 2 | 0 |
| B/0.00 pts | B/0.00 pts | 1 | 1 | 1 |
| B/2.31 pts | C/2.31 pts | 2 | 0 | 0 |
| A/0.00 pts | A/0.00 pts | 1 | 1 | 1 |
| A/2.31 pts | B/2.31 pts | 0 | 0 | 2 |
| C/0.00 pts | C/0.00 pts | 1 | 1 | 1 |
| C/2.31 pts | A/2.31 pts | 0 | 2 | 0 |
| B/0.00 pts | B/0.00 pts | 1 | 1 | 1 |
| B/2.31 pts | C/2.31 pts | 2 | 0 | 0 |
| A/0.00 pts | A/0.00 pts | 1 | 1 | 1 |
| A/2.31 pts | B/2.31 pts | 0 | 0 | 2 |
| C/0.00 pts | C/0.00 pts | 1 | 1 | 1 |
| C/2.31 pts | A/2.31 pts | 0 | 2 | 0 |
| B/0.00 pts | B/0.00 pts | 1 | 1 | 1 |
| B/2.31 pts | C/2.31 pts | 2 | 0 | 0 |
| A/0.00 pts | A/0.00 pts | 1 | 1 | 1 |
| A/2.31 pts | B/2.31 pts | 0 | 0 | 2 |
| C/0.00 pts | C/0.00 pts | 1 | 1 | 1 |
| C/2.31 pts | A/2.31 pts | 0 | 2 | 0 |
| B/0.00 pts | B/0.00 pts | 1 | 1 | 1 |
| B/2.31 pts | C/2.31 pts | 2 | 0 | 0 |
| A/0.00 pts | A/0.00 pts | 1 | 1 | 1 |
| A/2.31 pts | B/2.31 pts | 0 | 0 | 2 |
| C/0.00 pts | C/0.00 pts | 1 | 1 | 1 |
| C/2.31 pts | A/2.31 pts | 0 | 2 | 0 |
| B/0.00 pts | B/0.00 pts | 1 | 1 | 1 |
| B/2.31 pts | C/2.31 pts | 2 | 0 | 0 |
| A/0.00 pts | A/0.00 pts | 1 | 1 | 1 |
| A/2.31 pts | B/2.31 pts | 0 | 0 | 2 |
| C/0.00 pts | C/0.00 pts | 1 | 1 | 1 |
| C/2.31 pts | A/2.31 pts | 0 | 2 | 0 |
| B/0.00 pts | B/0.00 pts | 1 | 1 | 1 |
| B/2.31 pts | C/2.31 pts | 2 | 0 | 0 |
| A/0.00 pts | A/0.00 pts | 1 | 1 | 1 |
| A/2.31 pts | B/2.31 pts | 0 | 0 | 2 |
| C/0.00 pts | C/0.00 pts | 1 | 1 | 1 |
| C/2.31 pts | A/2.31 pts | 0 | 2 | 0 |
| B/0.00 pts | B/0.00 pts | 1 | 1 | 1 |
| B/2.31 pts | C/2.31 pts | 2 | 0 | 0 |
| A/0.00 pts | A/0.00 pts | 1 | 1 | 1 |
| A/2.31 pts | B/2.31 pts | 0 | 0 | 2 |
| C/0.00 pts | C/0.00 pts | 1 | 1 | 1 |
| C/2.31 pts | A/2.31 pts | 0 | 2 | 0 |
| B/0.00 pts | B/0.00 pts | 1 | 1 | 1 |
| B/2.31 pts | C/2.31 pts | 2 | 0 | 0 |
| A/0.00 pts | A/0.00 pts | 1 | 1 | 1 |
| A/2.31 pts | B/2.31 pts | 0 | 0 | 2 |
| C/0.00 pts | C/0.00 pts | 1 | 1 | 1 |
| C/2.31 pts | A/2.31 pts | 0 | 2 | 0 |
| B/0.00 pts | B/0.00 pts | 1 | 1 | 1 |
| B/2.31 pts | C/2.31 pts | 2 | 0 | 0 |
| A/0.00 pts | A/0.00 pts | 1 | 1 | 1 |
| A/2.31 pts | B/2.31 pts | 0 | 0 | 2 |
| C/0.00 pts | C/0.00 pts | 1 | 1 | 1 |
| C/2.31 pts | A/2.31 pts | 0 | 2 | 0 |
| B/0.00 pts | B/0.00 pts | 1 | 1 | 1 |
| B/2.31 pts | C/2.31 pts | 2 | 0 | 0 |
| A/0.00 pts | A/0.00 pts | 1 | 1 | 1 |
| A/2.31 pts | B/2.31 pts | 0 | 0 | 2 |
| C/0.00 pts | C/0.00 pts | 1 | 1 | 1 |
| C/2.31 pts | A/2.31 pts | 0 | 2 | 0 |
| B/0.00 pts | B/0.00 pts | 1 | 1 | 1 |
| B/2.31 pts | C/2.31 pts | 2 | 0 | 0 |
| A/0.00 pts | A/0.00 pts | 1 | 1 | 1 |
| A/2.31 pts | B/2.31 pts | 0 | 0 | 2 |
| C/0.00 pts | C/0.00 pts | 1 | 1 | 1 |
| C/2.31 pts | A/2.31 pts | 0 | 2 | 0 |
| B/0.00 pts | B/0.00 pts | 1 | 1 | 1 |
| B/2.31 pts | C/2.31 pts | 2 | 0 | 0 |
| A/0.00 pts | A/0.00 pts | 1 | 1 | 1 |
| A/2.31 pts | B/2.31 pts | 0 | 0 | 2 |
| C/0.00 pts | C/0.00 pts | 1 | 1 | 1 |
| C/2.31 pts | A/2.31 pts | 0 | 2 | 0 |
| B/0.00 pts | B/0.00 pts | 1 | 1 | 1 |
| B/2.31 pts | C/2.31 pts | 2 | 0 | 0 |
| A/0.00 pts | A/0.00 pts | 1 | 1 | 1 |
| A/2.31 pts | B/2.31 pts | 0 | 0 | 2 |
| C/0.00 pts | C/0.00 pts | 1 | 1 | 1 |
| C/2.31 pts | A/2.31 pts | 0 | 2 | 0 |
| B/0.00 pts | B/0.00 pts | 1 | 1 | 1 |
| B/2.31 pts | C/2.31 pts | 2 | 0 | 0 |
| A/0.00 pts | A/0.00 pts | 1 | 1 | 1 |
| A/2.31 pts | B/2.31 pts | 0 | 0 | 2 |
| C/0.00 pts | C/0.00 pts | 1 | 1 | 1 |
| C/2.31 pts | A/2.31 pts | 0 | 2 | 0 |
| B/0.00 pts | B/0.00 pts | 1 | 1 | 1 |
| B/2.31 pts | C/2.31 pts | 2 | 0 | 0 |
| A/0.00 pts | A/0.00 pts | 1 | 1 | 1 |
| A/2.31 pts | B/2.31 pts | 0 | 0 | 2 |
| C/0.00 pts | C/0.00 pts | 1 | 1 | 1 |
| C/2.31 pts | A/2.31 pts | 0 | 2 | 0 |
| B/0.00 pts | B/0.00 pts | 1 | 1 | 1 |
| B/2.31 pts | C/2.31 pts | 2 | 0 | 0 |
| A/0.00 pts | A/0.00 pts | 1 | 1 | 1 |
| A/2.31 pts | B/2.31 pts | 0 | 0 | 2 |
| C/0.00 pts | C/0.00 pts | 1 | 1 | 1 |
| C/2.31 pts | A/2.31 pts | 0 | 2 | 0 |
| B/0.00 pts | B/0.00 pts | 1 | 1 | 1 |
| B/2.31 pts | C/2.31 pts | 2 | 0 | 0 |
| A/0.00 pts | A/0.00 pts | 1 | 1 | 1 |
| A/2.31 pts | B/2.31 pts | 0 | 0 | 2 |
| C/0.00 pts | C/0.00 pts | 1 | 1 | 1 |
| C/2.31 pts | A/2.31 pts | 0 | 2 | 0 |
| B/0.00 pts | B/0.00 pts | 1 | 1 | 1 |
| B/2.31 pts | C/2.31 pts | 2 | 0 | 0 |
| A/0.00 pts | A/0.00 pts | 1 | 1 | 1 |
| A/2.31 pts | B/2.31 pts | 0 | 0 | 2 |
| C/0.00 pts | C/0.00 pts | 1 | 1 | 1 |
| C/2.31 pts | A/2.31 pts | 0 | 2 | 0 |
| B/0.00 pts | B/0.00 pts | 1 | 1 | 1 |
| B/2.31 pts | C/2.31 pts | 2 | 0 | 0 |
| A/0.00 pts | A/0.00 pts | 1 | 1 | 1 |
| A/2.31 pts | B/2.31 pts | 0 | 0 | 2 |
| C/0.00 pts | C/0.00 pts | 1 | 1 | 1 |
| C/2.31 pts | A/2.31 pts | 0 | 2 | 0 |
| B/0.00 pts | B/0.00 pts | 1 | 1 | 1 |
| B/2.31 pts | C/2.31 pts | 2 | 0 | 0 |
| A/0.00 pts | A/0.00 pts | 1 | 1 | 1 |
| A/2.31 pts | B/2.31 pts | 0 | 0 | 2 |
| C/0.00 pts | C/0.00 pts | 1 | 1 | 1 |
| C/2.31 pts | A/2.31 pts | 0 | 2 | 0 |
| B/0.00 pts | B/0.00 pts | 1 | 1 | 1 |
| B/2.31 pts | C/2.31 pts | 2 | 0 | 0 |
| A/0.00 pts | A/0.00 pts | 1 | 1 | 1 |
| A/2.31 pts | B/2.31 pts | 0 | 0 | 2 |
| C/0.00 pts | C/0.00 pts | 1 | 1 | 1 |
| C/2.31 pts | A/2.31 pts | 0 | 2 | 0 |
| B/0.00 pts | B/0.00 pts | 1 | 1 | 1 |
| B/2.31 pts | C/2.31 pts | 2 | 0 | 0 |
| A/0.00 pts | A/0.00 pts | 1 | 1 | 1 |
| A/2.31 pts | B/2.31 pts | 0 | 0 | 2 |
| C/0.00 pts | C/0.00 pts | 1 | 1 | 1 |
| C/2.31 pts | A/2.31 pts | 0 | 2 | 0 |
| B/0.00 pts | B/0.00 pts | 1 | 1 | 1 |
| B/2.31 pts | C/2.31 pts | 2 | 0 | 0 |
| A/0.00 pts | A/0.00 pts | 1 | 1 | 1 |
| A/2.31 pts | B/2.31 pts | 0 | 0 | 2 |
| C/0.00 pts | C/0.00 pts | 1 | 1 | 1 |
| C/2.31 pts | A/2.31 pts | 0 | 2 | 0 |
| B/0.00 pts | B/0.00 pts | 1 | 1 | 1 |
| B/2.31 pts | C/2.31 pts | 2 | 0 | 0 |
| A/0.00 pts | A/0.00 pts | 1 | 1 | 1 |
| A/2.31 pts | B/2.31 pts | 0 | 0 | 2 |
| C/0.00 pts | C/0.00 pts | 1 | 1 | 1 |
| C/2.31 pts | A/2.31 pts | 0 | 2 | 0 |
